sample_time,target_time,pred,pred_label,raw_future_return,strategy_return
2026-02-23 02:00:00+00:00,2026-02-24 02:00:00+00:00,2,LONG,-0.0040909705105325,-0.0060909705105325
2026-02-24 11:00:00+00:00,2026-02-25 11:00:00+00:00,0,SHORT,0.033508239121877,-0.035508239121877
2026-02-28 07:00:00+00:00,2026-03-01 07:00:00+00:00,2,LONG,0.0588425221027442,0.0568425221027442
2026-03-02 16:00:00+00:00,2026-03-03 16:00:00+00:00,0,SHORT,-0.02016733022755,0.018167330227550002
2026-03-04 13:00:00+00:00,2026-03-05 13:00:00+00:00,0,SHORT,0.0216183088774606,-0.023618308877460602
2026-03-07 07:00:00+00:00,2026-03-08 07:00:00+00:00,0,SHORT,-0.0077857471169237,0.0057857471169237
2026-03-10 10:00:00+00:00,2026-03-11 10:00:00+00:00,0,SHORT,-0.0225916165506678,0.020591616550667803
2026-03-13 01:00:00+00:00,2026-03-14 01:00:00+00:00,0,SHORT,-0.0118341952957149,0.0098341952957149
2026-03-15 23:00:00+00:00,2026-03-16 23:00:00+00:00,0,SHORT,0.027759249300999,-0.029759249300998998
2026-03-17 01:00:00+00:00,2026-03-18 01:00:00+00:00,2,LONG,-0.0195006567509883,-0.0215006567509883
2026-03-19 15:00:00+00:00,2026-03-20 15:00:00+00:00,0,SHORT,0.0035809935205182,-0.0055809935205182
2026-03-20 23:00:00+00:00,2026-03-21 23:00:00+00:00,2,LONG,-0.0069159734670911,-0.008915973467091099
2026-03-22 00:00:00+00:00,2026-03-23 00:00:00+00:00,2,LONG,-0.0151356531461219,-0.0171356531461219
