alpha,mae,rmse,directional_accuracy,pearson_correlation,spearman_correlation,macro_f1,accuracy,pred_short_count,pred_hold_count,pred_long_count
1e-08,0.019361771404302917,0.02588100918201536,0.4633222905821107,-0.08515953860118386,-0.09349996541211521,0.24272232138676098,0.4344533838144818,50,1904,159
1e-07,0.01936176990404641,0.025881008186995468,0.4637955513487932,-0.0851595096873035,-0.09349860311347542,0.24272232138676098,0.4344533838144818,50,1904,159
1e-06,0.019361756738842193,0.0258809965068068,0.4637955513487932,-0.08515858397959536,-0.09348573823164265,0.24272232138676098,0.4344533838144818,50,1904,159
1e-05,0.019361625389280206,0.025880879657634547,0.4637955513487932,-0.08514926890518144,-0.09348053834663846,0.24272232138676098,0.4344533838144818,50,1904,159
0.0001,0.019360323147319267,0.025879724068791743,0.4642688121154756,-0.08505686633797509,-0.09334923489034512,0.24272232138676098,0.4344533838144818,50,1904,159
0.001,0.019348386582939477,0.025869323054170442,0.4652153336488405,-0.08420263762074333,-0.09228490314435724,0.24189001292356851,0.4344533838144818,48,1906,159
0.01,0.019290559080554114,0.025818257618757626,0.4619025082820634,-0.07949119215031268,-0.08613798653980766,0.23958266969471462,0.4335068622811169,43,1911,159
0.1,0.019203012325138172,0.025744731066177508,0.46237576904874583,-0.07370827544331984,-0.07731814333292725,0.24165021366197512,0.436819687647894,37,1918,158
1.0,0.01902787758588866,0.02558690202046964,0.4765735920492191,-0.06610123118314964,-0.06378012442968659,0.23809459073291586,0.44202555608140087,28,1949,136
10.0,0.018617279404175284,0.025173637932238934,0.49029815428300993,-0.03579865339508973,-0.028089297981333406,0.2368184407629186,0.44628490298154283,20,1968,125
100.0,0.018259464539111488,0.02477116195416867,0.5049692380501657,0.007494652045802311,0.016376859742433313,0.23601492324484727,0.4495977283483199,13,1990,110
1000.0,0.018058932387192292,0.02454384829377683,0.5092285849503077,0.017762323363437908,0.018808420351865536,0.22997308029253394,0.4552768575485092,6,2035,72
10000.0,0.01795132816094623,0.024475665897469124,0.4713677236157123,-0.0046388132490094505,-0.010973459278143619,0.21431158295565075,0.45953620444865123,0,2077,36
100000.0,0.01774290560382113,0.02431750521891286,0.4912446758163748,-0.008406783131226673,0.0036383943898878257,0.21217016693591814,0.4661618551822054,0,2104,9
1000000.0,0.01752299699495626,0.024105383474493293,0.4794131566493138,-0.010751444229603946,0.02342177918817564,0.21284364261168384,0.46900141978230003,0,2113,0
10000000.0,0.017497248070816516,0.024048233218898974,0.47420728821580693,-0.012418154492921607,0.027695004744208197,0.21284364261168384,0.46900141978230003,0,2113,0
100000000.0,0.01749650474354445,0.02404205544592759,0.47420728821580693,-0.01242205531724327,0.028622002541044394,0.21284364261168384,0.46900141978230003,0,2113,0
1000000000.0,0.01749649365916535,0.02404144807348553,0.47420728821580693,-0.012417954443859368,0.028568561257148625,0.21284364261168384,0.46900141978230003,0,2113,0
10000000000.0,0.01749649288480925,0.024041387480557706,0.47420728821580693,-0.012417493689583167,0.028595325146672373,0.21284364261168384,0.46900141978230003,0,2113,0
