epoch,train_cross_entropy,val_cross_entropy,val_macro_f1,val_balanced_accuracy,val_accuracy,pred_short_count,pred_hold_count,pred_long_count
1,1.078996041414655,1.0818328006652311,0.2558235254961157,0.3374082007678875,0.45101751064836726,14,1911,188
2,1.054767373781749,1.0688075930148124,0.23116468952696886,0.33299625403560823,0.45953620444865123,1,2029,83
3,1.032338203419475,1.0638468002629855,0.2403165958047043,0.339327451335524,0.4647420728821581,0,2038,75
4,1.0230225092308025,1.0657057823076441,0.25061493861904854,0.34148360889026885,0.461429247515381,0,1986,127
5,1.0199210764753734,1.066871627326041,0.26013810684371236,0.342749273374904,0.4552768575485092,0,1929,184
6,1.0177108495290044,1.0684472363648458,0.2691309010608174,0.3466662929326905,0.45338381448177945,0,1877,236
7,1.0156500108500999,1.0694762043517403,0.273929972047962,0.3487038618219243,0.4514907714150497,0,1847,266
8,1.014647965097695,1.0699113119963046,0.2743180764249244,0.34790763305885647,0.4495977283483199,2,1830,281
9,1.0108838695661022,1.071210584875198,0.2744312435129143,0.3473139710121167,0.44770468528159013,2,1815,296
10,1.010818966000979,1.0720747200392233,0.2748451686952686,0.3465177422490488,0.4458116422148604,3,1806,304
11,1.0087564253361938,1.073282136377767,0.27340526635105444,0.34489067410821916,0.44486512068149553,4,1811,298
12,1.0090460937025136,1.0735406954312179,0.2729861262356675,0.3439211219277689,0.44297207761476576,4,1803,306
13,1.0066430285664827,1.0744089164612025,0.27366495386754147,0.34400018103810953,0.44202555608140087,5,1789,319
14,1.00458950431983,1.0750758225918944,0.2744071604514692,0.3435950476054532,0.44202555608140087,11,1785,317
15,1.0034697731953586,1.0761032175295622,0.2732619144368293,0.3433031355225599,0.4434453383814482,19,1801,293
16,1.0029065873095975,1.0788382642990144,0.2816231854870242,0.34704307981694366,0.44297207761476576,25,1766,322
17,1.0019278089399117,1.0787394587541157,0.2787710341032737,0.3438577163894006,0.4406057737813535,35,1769,309
18,0.9991704153508061,1.0783416683562153,0.27427070871515163,0.33958421211589634,0.43776620918125886,45,1762,306
19,1.0001322070490763,1.0787472057500498,0.273908614898628,0.33857513038027576,0.43634642688121156,51,1753,309
20,0.9960070453220333,1.0803421638162,0.2735861673268457,0.33629966544083506,0.43208707998106954,62,1732,319
21,0.9958344712753388,1.0817830905889483,0.27427042799860074,0.3367150851297159,0.43161381921438713,59,1720,334
22,0.9943910241181834,1.081053194732278,0.2704078735408781,0.333114302013292,0.42972077614765736,69,1729,315
23,0.9931393613111871,1.0827031751633593,0.26968116460046027,0.33253584516325335,0.42972077614765736,66,1735,312
24,0.9916680509917137,1.0834722515535873,0.27048701640508893,0.33257537471842363,0.42924751538097494,73,1725,315
