epoch,train_mse,val_rmse,val_mae
1,0.007841225539526927,0.037384225322658525,0.029359854869236836
2,0.0037635148101465964,0.03080813913079467,0.02375415220080518
3,0.00313603973365528,0.02898206018006564,0.02211681881342832
4,0.002585258452864332,0.02759993291762715,0.020790594277126245
5,0.0021813915677815414,0.027380866839335834,0.02050409867759153
6,0.001985112182856131,0.027004521999685227,0.020158249490732263
7,0.0018151297716576848,0.026917390144597434,0.0200548089238929
8,0.0015593776770482046,0.02622796804060957,0.019418260043707752
9,0.001434921102211065,0.02605062603382793,0.019294237730555126
10,0.0013402817510512965,0.025932712694645425,0.019126666322752596
11,0.001227619493699295,0.025947612755904275,0.019127064001400018
12,0.0011438956647863115,0.025633861441331146,0.018884918225077575
13,0.0010554625778621328,0.025475080151063673,0.018659031945123642
14,0.0010164489265027054,0.025531387153374205,0.018735098931694855
15,0.0009547720691108655,0.02561964823510482,0.018837029712294548
16,0.0009318366199114257,0.02553238942922065,0.0187754977160128
17,0.000861837429666737,0.025262562976496632,0.018537399077802715
18,0.0008415180056907595,0.025218495029641817,0.018467575809439734
19,0.000793089268577996,0.02498259015664519,0.01835480262846303
20,0.0007605908697368751,0.02539491668434224,0.01864759706406966
21,0.0007529612425730577,0.02549911595270951,0.018726710322579894
22,0.0007188147197183381,0.02476551466528561,0.018122518223456913
23,0.0007044500135343393,0.025025071196826273,0.018319732107711418
24,0.0006789931869951024,0.02508169277177244,0.018379873216553374
25,0.0006647426306862707,0.024906076785097226,0.018268074747584833
26,0.0006425926618628011,0.02487351376256595,0.018284702000515515
27,0.0006366093502011467,0.02497367543077724,0.018293892680906653
28,0.0006260022754941721,0.024677328027955334,0.018127084022092257
29,0.0006117123232495176,0.024831455845882207,0.018199290822151305
30,0.0006022511023520045,0.024619204680429465,0.018096144742468796
31,0.0005929768609900086,0.024797600443578333,0.01820520264813137
32,0.0005848907045676556,0.02500558715794391,0.018331079180378452
33,0.0005782486230327601,0.024765173352183416,0.018190093536529672
34,0.0005700223695876598,0.024814254519733712,0.018207397679071948
35,0.0005598982908569583,0.024869202598507598,0.01825066794238625
36,0.000560951932703502,0.024847509508101447,0.01825588048090519
37,0.0005578910984060324,0.025040686827534152,0.018378817667832736
38,0.0005485664114654461,0.024820769073519967,0.01821338913157451
