alpha,mae,rmse,directional_accuracy,pearson_correlation,spearman_correlation,macro_f1,accuracy,pred_short_count,pred_hold_count,pred_long_count
1e-08,0.015082978180360421,0.020636983175932988,0.5002393489707995,0.10087054261984077,0.025319559111376767,0.3209708392465908,0.5878410722833892,46,1966,77
1e-07,0.01508297865982743,0.020636982973239033,0.5002393489707995,0.10087047691968778,0.02531915631324079,0.3209708392465908,0.5878410722833892,46,1966,77
1e-06,0.015082978508077731,0.020636985318215735,0.5002393489707995,0.10086975883390537,0.025319119455895014,0.3209708392465908,0.5878410722833892,46,1966,77
1e-05,0.015082976448572993,0.02063700918990326,0.5002393489707995,0.10086257716739591,0.025317356884966672,0.3209708392465908,0.5878410722833892,46,1966,77
0.0001,0.015082954798924441,0.02063724497267557,0.5002393489707995,0.10079139293503164,0.025277593074209875,0.3209708392465908,0.5878410722833892,46,1966,77
0.001,0.015082650332756633,0.02063933059964053,0.5002393489707995,0.10013764073761329,0.024814106685746136,0.32206725456182433,0.588319770224988,46,1965,78
0.01,0.01507606637656832,0.02064647277870987,0.49784585926280517,0.09666065708926071,0.023071437407789174,0.31715447799314916,0.5873623743417903,40,1971,78
0.1,0.01502550485766306,0.020622552579155944,0.49497367161321204,0.09262687842793911,0.020413870082647598,0.3093150490711361,0.5868836764001915,33,1987,69
1.0,0.01489031445940115,0.02054588310784053,0.5011967448539971,0.08817329784074937,0.0137745181316685,0.3087487572072634,0.5931067496409765,20,2013,56
10.0,0.014700318079028862,0.02043264483506503,0.49640976543800863,0.08221687287467083,-0.0019593536137719266,0.285992187506882,0.5911919578745811,4,2041,44
100.0,0.01460464678164902,0.0203345182608898,0.49784585926280517,0.08755572746825141,-0.00676030986181207,0.26286062411747785,0.5835327908089996,0,2069,20
1000.0,0.014384023463723356,0.020063112120855865,0.5031115366203925,0.13831864432165072,0.03267801499077764,0.25291293505270707,0.5801819052178075,0,2079,10
10000.0,0.014063585249489387,0.019635021676522313,0.5074198180947822,0.27881390699897074,0.12930400799678038,0.25077219026051956,0.5806606031594064,0,2084,5
100000.0,0.013991700107012122,0.019649961557512887,0.517951172809957,0.29320748461365526,0.15838354949245198,0.24426246082297035,0.5782671134514121,0,2089,0
1000000.0,0.014087217215659609,0.019922238950544676,0.5639061752034467,0.259327850423857,0.15318751277337392,0.24426246082297035,0.5782671134514121,0,2089,0
10000000.0,0.014176421910593826,0.02007895182388972,0.556247008137865,0.24672243530075313,0.15037314245229877,0.24426246082297035,0.5782671134514121,0,2089,0
100000000.0,0.01419280336444357,0.02010413785143672,0.556247008137865,0.24502320291317237,0.14980390707346963,0.24426246082297035,0.5782671134514121,0,2089,0
1000000000.0,0.014194574792050106,0.020106816448121775,0.556247008137865,0.24484683873248472,0.1497430687589318,0.24426246082297035,0.5782671134514121,0,2089,0
10000000000.0,0.014194752904868614,0.020107086017982834,0.556247008137865,0.24482913462396794,0.14973190098316183,0.24426246082297035,0.5782671134514121,0,2089,0
