epoch,train_mse,val_rmse,val_mae
1,0.00811651112687391,0.026302264678529832,0.020528522565797774
2,0.0037659466347883517,0.020912468913009716,0.01604494100620733
3,0.0031761034412508857,0.019403030599768223,0.014767477314501879
4,0.0026796918081625964,0.018289214899901988,0.01396242721540053
5,0.002348385965299654,0.017791294564691175,0.01360591191915306
6,0.0020547977120777185,0.01742426770980014,0.013321871101169886
7,0.001843080310763822,0.017074407451999913,0.012989692629103636
8,0.00167958484929318,0.016787128915314038,0.012725308068405944
9,0.0015220490686400745,0.016714728687312764,0.012765385565600768
10,0.0013927115995091986,0.016571461225208806,0.012665045720479343
11,0.0013164805669831287,0.01629412819036785,0.012296684519045331
12,0.0012323384275680091,0.01623588138865886,0.012353734445975676
13,0.0011638756265621867,0.01614455192633253,0.012212802755552891
14,0.00109162841096985,0.01610915901339214,0.012218747023986641
15,0.0010445585000094023,0.01598937628338768,0.01204190487094023
16,0.0010139379348590935,0.0161131345459975,0.012286077358372897
17,0.0009447486114273848,0.016047884808347908,0.012185579562650362
18,0.0009112848702130372,0.016009204954298,0.012171944651075677
19,0.0008883705619973784,0.016174746773328075,0.012391697317576235
20,0.0008394999086700777,0.015846660717676445,0.011918262528724601
21,0.0008273116949701805,0.015891600474487302,0.012062413495589612
22,0.0007983703423488972,0.01584154491557827,0.011949398463148879
23,0.0007678849546967854,0.015923918347790614,0.012109963780238054
24,0.0007614609106029282,0.015786014361431667,0.01188809927407722
25,0.0007356058430173092,0.015823519157420828,0.011922332247180225
26,0.0007188123659575454,0.015906648842568816,0.012072102016908132
27,0.0007150749613445776,0.01584879923651888,0.012004718100237895
28,0.0006940880445763898,0.015845512792363393,0.012010084011219476
29,0.0006850840013463667,0.01579866181917558,0.011949414372351246
30,0.0006759353592771295,0.01592123323456122,0.01213043100807476
31,0.0006689292277255902,0.01589542365934321,0.012096308947549433
32,0.0006556515370139193,0.015928679596904537,0.0121545109851347
