sample_time,target_time,pred,pred_label,raw_future_return,strategy_return
2025-07-10 22:00:00+00:00,2025-07-11 22:00:00+00:00,2,LONG,0.0097185084433728,0.007718508443372799
2025-07-14 06:00:00+00:00,2025-07-15 06:00:00+00:00,2,LONG,-0.0416043944197533,-0.0436043944197533
2025-07-16 00:00:00+00:00,2025-07-17 00:00:00+00:00,0,SHORT,0.0074788293755101,-0.0094788293755101
2025-07-17 12:00:00+00:00,2025-07-18 12:00:00+00:00,2,LONG,0.0103533020906603,0.0083533020906603
2025-07-23 21:00:00+00:00,2025-07-24 21:00:00+00:00,2,LONG,0.0069653015682107,0.0049653015682107
2025-07-25 11:00:00+00:00,2025-07-26 11:00:00+00:00,2,LONG,0.014227299770616,0.012227299770616
2025-08-01 13:00:00+00:00,2025-08-02 13:00:00+00:00,0,SHORT,-0.0179756417216779,0.015975641721677897
2025-08-13 10:00:00+00:00,2025-08-14 10:00:00+00:00,0,SHORT,0.0126460366678458,-0.0146460366678458
2025-08-15 20:00:00+00:00,2025-08-16 20:00:00+00:00,0,SHORT,0.006224572301295,-0.008224572301294999
2025-08-16 20:00:00+00:00,2025-08-17 20:00:00+00:00,2,LONG,-0.000492334379225,-0.002492334379225
2025-08-24 23:00:00+00:00,2025-08-25 23:00:00+00:00,0,SHORT,-0.0294753916270705,0.0274753916270705
2025-08-26 01:00:00+00:00,2025-08-27 01:00:00+00:00,2,LONG,0.020703850226686,0.018703850226685997
2025-08-30 08:00:00+00:00,2025-08-31 08:00:00+00:00,0,SHORT,0.0016004897351078,-0.0036004897351078003
2025-08-31 19:00:00+00:00,2025-09-01 19:00:00+00:00,2,LONG,0.0009927919454597,-0.0010072080545403001
2025-10-07 20:00:00+00:00,2025-10-08 20:00:00+00:00,2,LONG,0.0146057548088307,0.0126057548088307
2025-10-10 20:00:00+00:00,2025-10-11 20:00:00+00:00,0,SHORT,-0.0470042407584483,0.0450042407584483
2025-10-11 20:00:00+00:00,2025-10-12 20:00:00+00:00,0,SHORT,0.0285515025804159,-0.030551502580415897
2025-10-12 21:00:00+00:00,2025-10-13 21:00:00+00:00,2,LONG,0.0068072156485874,0.0048072156485874
2025-10-13 21:00:00+00:00,2025-10-14 21:00:00+00:00,2,LONG,-0.0235154560647967,-0.0255154560647967
2025-10-14 21:00:00+00:00,2025-10-15 21:00:00+00:00,2,LONG,-0.0166654418307725,-0.018665441830772497
2025-10-15 21:00:00+00:00,2025-10-16 21:00:00+00:00,0,SHORT,-0.029445848614374,0.027445848614373998
2025-10-17 12:00:00+00:00,2025-10-18 12:00:00+00:00,2,LONG,0.0145245166304863,0.0125245166304863
2025-10-18 21:00:00+00:00,2025-10-19 21:00:00+00:00,2,LONG,0.0171276617628084,0.015127661762808399
2025-10-19 21:00:00+00:00,2025-10-20 21:00:00+00:00,2,LONG,0.0209088669407326,0.0189088669407326
2025-10-21 11:00:00+00:00,2025-10-22 11:00:00+00:00,2,LONG,-0.0076556982942972,-0.0096556982942972
2025-10-22 14:00:00+00:00,2025-10-23 14:00:00+00:00,0,SHORT,0.006561854793097,-0.008561854793097
2025-10-23 20:00:00+00:00,2025-10-24 20:00:00+00:00,0,SHORT,0.00387147150419,-0.00587147150419
2025-10-28 16:00:00+00:00,2025-10-29 16:00:00+00:00,0,SHORT,-0.0273884021875815,0.025388402187581503
2025-10-30 02:00:00+00:00,2025-10-31 02:00:00+00:00,0,SHORT,-0.0073378623188405,0.0053378623188405
2025-11-01 15:00:00+00:00,2025-11-02 15:00:00+00:00,2,LONG,0.004380999530412,0.002380999530412
2025-11-04 04:00:00+00:00,2025-11-05 04:00:00+00:00,0,SHORT,-0.0466827897248185,0.0446827897248185
2025-11-05 09:00:00+00:00,2025-11-06 09:00:00+00:00,2,LONG,0.0148292725156737,0.012829272515673699
2025-11-06 09:00:00+00:00,2025-11-07 09:00:00+00:00,0,SHORT,-0.0164728372191315,0.014472837219131502
2025-11-07 23:00:00+00:00,2025-11-08 23:00:00+00:00,0,SHORT,-0.0120583706235307,0.0100583706235307
2025-11-10 16:00:00+00:00,2025-11-11 16:00:00+00:00,2,LONG,-0.0152886243189768,-0.0172886243189768
2025-11-11 21:00:00+00:00,2025-11-12 21:00:00+00:00,0,SHORT,-0.0125990901413822,0.0105990901413822
2025-11-13 06:00:00+00:00,2025-11-14 06:00:00+00:00,2,LONG,-0.0543626504738532,-0.0563626504738532
2025-11-14 17:00:00+00:00,2025-11-15 17:00:00+00:00,0,SHORT,-0.008869021840005,0.006869021840005001
2025-11-16 02:00:00+00:00,2025-11-17 02:00:00+00:00,0,SHORT,-0.0052200320699616,0.0032200320699616
2025-11-18 05:00:00+00:00,2025-11-19 05:00:00+00:00,0,SHORT,0.0119495011416437,-0.0139495011416437
2025-11-19 06:00:00+00:00,2025-11-20 06:00:00+00:00,0,SHORT,0.0240834719665865,-0.026083471966586502
2025-11-20 07:00:00+00:00,2025-11-21 07:00:00+00:00,2,LONG,-0.0697763701974842,-0.0717763701974842
2025-11-21 07:00:00+00:00,2025-11-22 07:00:00+00:00,2,LONG,-0.0109258759115127,-0.0129258759115127
2025-11-22 07:00:00+00:00,2025-11-23 07:00:00+00:00,0,SHORT,0.0144663366289818,-0.016466336628981802
2025-11-23 07:00:00+00:00,2025-11-24 07:00:00+00:00,2,LONG,0.0119657143656155,0.0099657143656155
2025-11-24 07:00:00+00:00,2025-11-25 07:00:00+00:00,2,LONG,0.012825989583993,0.010825989583993
2025-11-25 09:00:00+00:00,2025-11-26 09:00:00+00:00,0,SHORT,0.0047773666649035,-0.0067773666649035
2025-11-26 10:00:00+00:00,2025-11-27 10:00:00+00:00,2,LONG,0.0546678849652657,0.0526678849652657
2025-11-28 08:00:00+00:00,2025-11-29 08:00:00+00:00,2,LONG,-0.0036906217701554,-0.005690621770155399
2025-12-01 20:00:00+00:00,2025-12-02 20:00:00+00:00,0,SHORT,0.0809558945536323,-0.0829558945536323
2025-12-04 20:00:00+00:00,2025-12-05 20:00:00+00:00,0,SHORT,-0.0254301169422077,0.0234301169422077
2025-12-06 00:00:00+00:00,2025-12-07 00:00:00+00:00,0,SHORT,-0.0009890930923664,-0.0010109069076336
2025-12-08 15:00:00+00:00,2025-12-09 15:00:00+00:00,0,SHORT,-0.0053576049908871,0.0033576049908871
2025-12-11 20:00:00+00:00,2025-12-12 20:00:00+00:00,2,LONG,-0.0070227147815149,-0.009022714781514899
2025-12-15 19:00:00+00:00,2025-12-16 19:00:00+00:00,2,LONG,0.018608592688901,0.016608592688900997
2025-12-16 19:00:00+00:00,2025-12-17 19:00:00+00:00,2,LONG,-0.0222665420645955,-0.024266542064595498
2025-12-18 14:00:00+00:00,2025-12-19 14:00:00+00:00,0,SHORT,-0.0097186959923889,0.0077186959923889
2025-12-19 14:00:00+00:00,2025-12-20 14:00:00+00:00,2,LONG,0.0030083462849879,0.0010083462849878998
2025-12-26 08:00:00+00:00,2025-12-27 08:00:00+00:00,0,SHORT,-0.0107180009045679,0.0087180009045679
2025-12-30 16:00:00+00:00,2025-12-31 16:00:00+00:00,0,SHORT,-0.0118850118917557,0.0098850118917557
2026-01-04 06:00:00+00:00,2026-01-05 06:00:00+00:00,2,LONG,0.0096476349515157,0.0076476349515157
2026-01-07 07:00:00+00:00,2026-01-08 07:00:00+00:00,2,LONG,-0.0294765497982575,-0.0314765497982575
2026-01-09 02:00:00+00:00,2026-01-10 02:00:00+00:00,0,SHORT,-0.0038610802234461,0.0018610802234461
2026-01-13 16:00:00+00:00,2026-01-14 16:00:00+00:00,0,SHORT,0.0352588291589459,-0.0372588291589459
2026-01-19 00:00:00+00:00,2026-01-20 00:00:00+00:00,2,LONG,-0.011111395936538,-0.013111395936538
2026-01-21 21:00:00+00:00,2026-01-22 21:00:00+00:00,0,SHORT,-0.008907184300644,0.0069071843006439995
2026-01-29 16:00:00+00:00,2026-01-30 16:00:00+00:00,2,LONG,-0.0241826046393284,-0.0261826046393284
2026-01-31 08:00:00+00:00,2026-02-01 08:00:00+00:00,0,SHORT,-0.0621583333433126,0.060158333343312595
2026-02-01 09:00:00+00:00,2026-02-02 09:00:00+00:00,2,LONG,-0.0220340018635343,-0.0240340018635343
