epoch,train_mse,val_rmse,val_mae
1,0.008300167743700529,0.02667556318938579,0.02067226853950968
2,0.0037951283311176555,0.022976896119239087,0.01758836412757409
3,0.0032964743084181263,0.02129927890350912,0.01617295095212679
4,0.002731387330297611,0.02094156773190717,0.015722769223971776
5,0.00241301751275624,0.0203905743728863,0.01521101984797124
6,0.002136771418741413,0.02009257187581958,0.014902060974116197
7,0.0019288598168991573,0.019920631161078315,0.014706367968361682
8,0.0017811836153864573,0.01967567477685417,0.014558895474764435
9,0.0016192898001735235,0.019708475467493124,0.014425534377590267
10,0.0015012407049474726,0.01992261315175998,0.014555722307236117
11,0.0013952059216738291,0.019690125754135396,0.014517807616375285
12,0.001337770260516779,0.01957153535579787,0.014322191823719566
13,0.0012243786717900924,0.019714583835569267,0.014396822084219177
14,0.0011882790558461465,0.019519679949620207,0.014265899856611475
15,0.0011223881240793865,0.019566353053962347,0.01427536034033189
16,0.0010750669833121266,0.019644708275960758,0.014307522800316481
17,0.0010281959995625685,0.019568393135923758,0.014216097440422511
18,0.0010029808221260323,0.01957446632520438,0.014278996065085477
19,0.0009964488685401997,0.0195208678635215,0.014199535602663727
20,0.0009543382519313475,0.01960887907809759,0.01427127601715466
21,0.0009285778129945127,0.01962172916960826,0.014254837899290317
22,0.000904840382053131,0.019522241660696372,0.014324564637895736
