regime_axis,regime,model,samples,trade_count,trade_ratio,cumulative_return,win_rate,avg_trade_return,max_drawdown
trend,UP,Ridge-Flat,1482,23,0.0155195681511471,-0.161278792483467,0.30434782608695654,-0.007396930347308643,-0.20718444098793543
trend,DOWN,Ridge-Flat,2544,41,0.01611635220125786,0.15086102591186834,0.5853658536585366,0.003721055617534902,-0.14406267468785694
trend,SIDEWAYS,Ridge-Flat,2265,22,0.009713024282560706,0.03594456420829406,0.5454545454545454,0.0018281489677806862,-0.062455969525442856
volatility,HIGH,Ridge-Flat,2653,58,0.02186204297022239,-0.02728207685328954,0.4827586206896552,-0.00017027439639120704,-0.10311385487096703
volatility,LOW,Ridge-Flat,3638,28,0.007696536558548653,0.027992876284220092,0.5357142857142857,0.001161752664739189,-0.059509043922402194
combined,UP_HIGH,Ridge-Flat,691,13,0.01881331403762663,-0.104396290836969,0.3076923076923077,-0.008205762583766447,-0.14646760296597072
combined,UP_LOW,Ridge-Flat,791,10,0.012642225031605562,-0.0635130259784834,0.3,-0.006345448439913501,-0.08783145009725557
combined,DOWN_HIGH,Ridge-Flat,1385,31,0.022382671480144403,0.04797730651660137,0.4838709677419355,0.0018772632206783186,-0.13623358442163558
combined,DOWN_LOW,Ridge-Flat,1159,10,0.008628127696289905,0.09817361383257839,0.9,0.00943681204779031,-0.0030105406481111263
combined,SIDEWAYS_HIGH,Ridge-Flat,577,14,0.024263431542461005,0.03638031723907109,0.6428571428571429,0.002757417054088993,-0.061672638471211516
combined,SIDEWAYS_LOW,Ridge-Flat,1688,8,0.004739336492890996,-0.0004204566832549661,0.375,0.00020192981674114954,-0.06245596952544297
trend,UP,LSTM Classifier,1482,26,0.017543859649122806,-0.04370562582587634,0.34615384615384615,-0.0014562531081229236,-0.07918646906566651
trend,DOWN,LSTM Classifier,2544,66,0.025943396226415096,-0.20733268902602076,0.45454545454545453,-0.003075208288290699,-0.38427375901166194
trend,SIDEWAYS,LSTM Classifier,2265,46,0.020309050772626933,-0.20412669588148902,0.41304347826086957,-0.004829171279137246,-0.19906724739118897
volatility,HIGH,LSTM Classifier,2653,67,0.025254428948360347,-0.06800271404503477,0.4925373134328358,-0.0006569560975495695,-0.24138214110759237
volatility,LOW,LSTM Classifier,3638,71,0.019516217702034086,-0.35269071105338123,0.352112676056338,-0.005900734480885552,-0.3563243692953336
combined,UP_HIGH,LSTM Classifier,691,13,0.01881331403762663,-0.007528482427059391,0.3076923076923077,-0.0003041521314650611,-0.057790491290761636
combined,UP_LOW,LSTM Classifier,791,13,0.01643489254108723,-0.03645156839088681,0.38461538461538464,-0.002608354084780785,-0.06211699416943295
combined,DOWN_HIGH,LSTM Classifier,1385,38,0.027436823104693142,-0.036407217423362837,0.5263157894736842,-0.0004369718782026953,-0.25566511540287684
combined,DOWN_LOW,LSTM Classifier,1159,28,0.024158757549611734,-0.1773835116797009,0.35714285714285715,-0.006655671987695845,-0.1909866248997737
combined,SIDEWAYS_HIGH,LSTM Classifier,577,16,0.02772963604852686,-0.02545239793153553,0.5625,-0.0014660718409420558,-0.06687880177712502
combined,SIDEWAYS_LOW,LSTM Classifier,1688,30,0.017772511848341232,-0.18334075992872978,0.3333333333333333,-0.006622824312841345,-0.17814917310468814
trend,UP,TimesNet Classifier,1482,48,0.032388663967611336,-0.034548184779312874,0.4375,-0.00046402396094176516,-0.11163631076384872
trend,DOWN,TimesNet Classifier,2544,78,0.030660377358490566,-0.1570468205815363,0.5,-0.0018359021152758305,-0.18797498600641482
trend,SIDEWAYS,TimesNet Classifier,2265,61,0.026931567328918323,0.029519526763105874,0.4918032786885246,0.0006843849288969717,-0.09956026596490208
volatility,HIGH,TimesNet Classifier,2653,87,0.03279306445533359,-0.05575403882726282,0.45977011494252873,-0.0002704843776756582,-0.22926699429548392
volatility,LOW,TimesNet Classifier,3638,100,0.02748763056624519,-0.11267338371063107,0.5,-0.0010019389359622204,-0.16526844425310738
combined,UP_HIGH,TimesNet Classifier,691,19,0.027496382054992764,0.012910230032204373,0.3684210526315789,0.0010421553639541523,-0.07464812121107056
combined,UP_LOW,TimesNet Classifier,791,29,0.03666245259165613,-0.04685352502561679,0.4827586206896552,-0.0014508311048390902,-0.10490503050731681
combined,DOWN_HIGH,TimesNet Classifier,1385,49,0.03537906137184116,-0.10746711636543316,0.46938775510204084,-0.0018451351558146924,-0.16791488377856933
combined,DOWN_LOW,TimesNet Classifier,1159,29,0.025021570319240724,-0.05554944263140804,0.5517241379310345,-0.0018203014605722378,-0.11880199728948171
combined,SIDEWAYS_HIGH,TimesNet Classifier,577,19,0.03292894280762565,0.04445552769763417,0.5263157894736842,0.0024778173611583573,-0.08181657951493004
combined,SIDEWAYS_LOW,TimesNet Classifier,1688,42,0.024881516587677725,-0.014300274677518043,0.47619047619047616,-0.00012692974284032153,-0.07965614024684653
trend,UP,Chronos-2 LoRA,1482,17,0.011470985155195682,-0.0043222774921226614,0.47058823529411764,-0.00010798420676642924,-0.05062006264759955
trend,DOWN,Chronos-2 LoRA,2544,38,0.014937106918238994,-0.23503653870817365,0.3157894736842105,-0.006499100990040043,-0.2630561932548512
trend,SIDEWAYS,Chronos-2 LoRA,2265,4,0.0017660044150110375,-0.01053255758753846,0.25,-0.0025638587534434747,-0.015642850643374784
volatility,HIGH,Chronos-2 LoRA,2653,43,0.01620806633999246,-0.22873271379670634,0.3488372093023256,-0.005542540635665876,-0.26068445016837793
volatility,LOW,Chronos-2 LoRA,3638,16,0.0043980208905992305,-0.022861602718999063,0.375,-0.0012954848010432625,-0.07414557112154307
combined,UP_HIGH,Chronos-2 LoRA,691,10,0.01447178002894356,-0.006043522162555548,0.5,-0.0004619102700486093,-0.023618308877460636
combined,UP_LOW,Chronos-2 LoRA,791,7,0.008849557522123894,0.001731710300010736,0.42857142857142855,0.0003976244550652565,-0.029759249300999047
combined,DOWN_HIGH,Chronos-2 LoRA,1385,31,0.022382671480144403,-0.2264301626629981,0.2903225806451613,-0.007646702093114885,-0.26530596778705373
combined,DOWN_LOW,Chronos-2 LoRA,1159,7,0.0060396893874029335,-0.011125532084863887,0.42857142857142855,-0.001416867533565728,-0.04574774022691408
combined,SIDEWAYS_HIGH,Chronos-2 LoRA,577,2,0.0034662045060658577,0.003085643802100302,0.5,0.001668810126707501,0.0
combined,SIDEWAYS_LOW,Chronos-2 LoRA,1688,2,0.001184834123222749,-0.013576309733653646,0.0,-0.00679652763359445,-0.001369995192068596
trend,UP,TimesFM 2.5 LoRA,1482,22,0.014844804318488529,-0.21801903323529193,0.36363636363636365,-0.010873717180715047,-0.22400852994886689
trend,DOWN,TimesFM 2.5 LoRA,2544,58,0.02279874213836478,-0.2037657808600596,0.5,-0.0034087132689576633,-0.3837481076410878
trend,SIDEWAYS,TimesFM 2.5 LoRA,2265,24,0.010596026490066225,0.10877852896323836,0.625,0.004511866810421016,-0.04091743165379835
volatility,HIGH,TimesFM 2.5 LoRA,2653,67,0.025254428948360347,-0.39979613088910415,0.44776119402985076,-0.007134350634022559,-0.4454890033633493
volatility,LOW,TimesFM 2.5 LoRA,3638,37,0.01017042330951072,0.15022562122942418,0.5945945945945946,0.004036733739306497,-0.07768116950024939
combined,UP_HIGH,TimesFM 2.5 LoRA,691,15,0.02170767004341534,-0.12021019136846478,0.4,-0.008292311031960332,-0.12694884408687668
combined,UP_LOW,TimesFM 2.5 LoRA,791,7,0.008849557522123894,-0.11117296530061382,0.2857142857142857,-0.016405301785189428,-0.09539068140361517
combined,DOWN_HIGH,TimesFM 2.5 LoRA,1385,40,0.02888086642599278,-0.34025644593823623,0.4,-0.009737642645490183,-0.42736590530868457
combined,DOWN_LOW,TimesFM 2.5 LoRA,1159,18,0.015530629853321829,0.2068844238611509,0.7222222222222222,0.010655574234447938,-0.01841127157317557
combined,SIDEWAYS_HIGH,TimesFM 2.5 LoRA,577,12,0.02079722703639515,0.034057545846465365,0.6666666666666666,0.0029907399016250746,-0.04091743165379835
combined,SIDEWAYS_LOW,TimesFM 2.5 LoRA,1688,12,0.0071090047393364926,0.0722599853527568,0.5833333333333334,0.006032993719216958,-0.02551545606479666
trend,UP,Cryptova-Raw,1482,40,0.02699055330634278,-0.18047653464140034,0.425,-0.0047000655831724875,-0.22168149569278273
trend,DOWN,Cryptova-Raw,2544,84,0.0330188679245283,0.10399852595254178,0.5476190476190477,0.0015586060760096085,-0.28277769777739015
trend,SIDEWAYS,Cryptova-Raw,2265,54,0.02384105960264901,-0.09484664214743121,0.42592592592592593,-0.001690677770462415,-0.10880396736757159
volatility,HIGH,Cryptova-Raw,2653,93,0.03505465510742556,0.0766152000099225,0.5591397849462365,0.0011805085504914899,-0.27067524644246865
volatility,LOW,Cryptova-Raw,3638,85,0.02336448598130841,-0.23933830548049762,0.4,-0.0030372189146208404,-0.23986561876912782
combined,UP_HIGH,Cryptova-Raw,691,21,0.030390738060781478,-0.10716283779398783,0.42857142857142855,-0.005072695237520404,-0.14273259956816475
combined,UP_LOW,Cryptova-Raw,791,19,0.02402022756005057,-0.08211317802483731,0.42105263157894735,-0.0042882117546826845,-0.10876194080566881
combined,DOWN_HIGH,Cryptova-Raw,1385,52,0.03754512635379061,0.17833155450590654,0.5961538461538461,0.003625566955420638,-0.22220736511987627
combined,DOWN_LOW,Cryptova-Raw,1159,32,0.027610008628127698,-0.06308328778018213,0.46875,-0.001800205353033316,-0.1366321775502345
combined,SIDEWAYS_HIGH,Cryptova-Raw,577,20,0.03466204506065858,0.0233418633280853,0.6,0.0013892206750881948,-0.09070897357820218
combined,SIDEWAYS_LOW,Cryptova-Raw,1688,34,0.02014218009478673,-0.11549269086983971,0.3235294117647059,-0.003502382738433362,-0.10207515655239008
trend,UP,Cryptova-Base,1482,39,0.02631578947368421,-0.15874675501265445,0.41025641025641024,-0.0041348597982051845,-0.20068331150175056
trend,DOWN,Cryptova-Base,2544,83,0.03262578616352201,0.35254557476826953,0.5542168674698795,0.0041085327209069294,-0.2541757784161419
trend,SIDEWAYS,Cryptova-Base,2265,36,0.015894039735099338,-0.055956016367197714,0.3888888888888889,-0.00146479916805285,-0.0785672817393176
volatility,HIGH,Cryptova-Base,2653,87,0.03279306445533359,0.5108701915330585,0.5977011494252874,0.005233168763390947,-0.22968577129630885
volatility,LOW,Cryptova-Base,3638,71,0.019516217702034086,-0.2890423426048223,0.3380281690140845,-0.004623517869854112,-0.32894987474249293
combined,UP_HIGH,Cryptova-Base,691,20,0.02894356005788712,-0.06029912775112445,0.45,-0.0027655170097637956,-0.08031446737140946
combined,UP_LOW,Cryptova-Base,791,19,0.02402022756005057,-0.10476485674204672,0.3684210526315789,-0.005576273259722437,-0.11135629560711946
combined,DOWN_HIGH,Cryptova-Base,1385,56,0.04043321299638989,0.46598698054359367,0.6071428571428571,0.00743698287567775,-0.22220736511987615
combined,DOWN_LOW,Cryptova-Base,1159,27,0.023295944779982744,-0.0773822737042722,0.4444444444444444,-0.0027949194519510706,-0.14076631122620398
combined,SIDEWAYS_HIGH,Cryptova-Base,577,11,0.019064124783362217,0.09674941043570184,0.8181818181818182,0.008556816506575833,-0.023874123329112762
combined,SIDEWAYS_LOW,Cryptova-Base,1688,25,0.01481042654028436,-0.13923456475097185,0.2,-0.005874310064889472,-0.13348849729636436
trend,UP,Cryptova-Full,1482,25,0.016869095816464237,0.07810301251008811,0.64,0.003165748424409224,-0.05524590933708673
trend,DOWN,Cryptova-Full,2544,68,0.026729559748427674,0.17025025867266685,0.5294117647058824,0.0028031103982430615,-0.2226266109743784
trend,SIDEWAYS,Cryptova-Full,2265,26,0.011479028697571744,0.010285973422939687,0.5384615384615384,0.0005890910489999496,-0.06785994168420018
volatility,HIGH,Cryptova-Full,2653,78,0.029400678477195626,0.48743276846941064,0.6282051282051282,0.005536333596738098,-0.16742817259213416
volatility,LOW,Cryptova-Full,3638,41,0.011269928532160528,-0.1430687436493735,0.4146341463414634,-0.0035795715995320535,-0.17107562191835424
combined,UP_HIGH,Cryptova-Full,691,18,0.02604920405209841,0.1259828606937563,0.7222222222222222,0.006762805786064054,-0.028388119969150694
combined,UP_LOW,Cryptova-Full,791,7,0.008849557522123894,-0.042522714914299264,0.42857142857142855,-0.006083827648417486,-0.03838440652023223
combined,DOWN_HIGH,Cryptova-Full,1385,50,0.036101083032490974,0.28950211742203313,0.58,0.005685691222870604,-0.16330818981419692
combined,DOWN_LOW,Cryptova-Full,1159,18,0.015530629853321829,-0.09247899413129579,0.3888888888888889,-0.005204058559055667,-0.13419730691131748
combined,SIDEWAYS_HIGH,Cryptova-Full,577,10,0.01733102253032929,0.02443287129596783,0.7,0.002581895525288849,-0.02387412332911265
