regime_axis,regime,model,samples,mae,rmse,directional_accuracy,pearson_correlation,spearman_correlation
trend,DOWN,Chronos-2 LoRA,2544,0.02044809719986807,0.02953192630591504,0.482311320754717,-0.19218149605662044,-0.0958334675379091
trend,SIDEWAYS,Chronos-2 LoRA,2265,0.01370308918012206,0.01861936514253495,0.4856512141280353,-0.02155794877653426,-0.02726616410667774
volatility,HIGH,Chronos-2 LoRA,2653,0.020822293985243667,0.029878770749484564,0.48435733132303055,-0.1538497338809026,-0.05143095757917803
volatility,LOW,Chronos-2 LoRA,3638,0.014468736160174722,0.01923797187814337,0.4956019791094008,-0.022843924229341176,-0.01220552683905661
combined,UP_HIGH,Chronos-2 LoRA,691,0.017516272577912075,0.02350324946674282,0.5354558610709117,-0.012526507788810917,-0.015879005297702642
combined,UP_LOW,Chronos-2 LoRA,791,0.01607788555346272,0.02040088470766774,0.4943109987357775,-0.01684844307885555,-0.005679132895141866
combined,DOWN_HIGH,Chronos-2 LoRA,1385,0.0246706943663284,0.03534636280497158,0.4584837545126354,-0.23529861489535922,-0.15492931055928275
combined,DOWN_LOW,Chronos-2 LoRA,1159,0.01540211180250175,0.020526705082722942,0.5107851596203624,-0.038743211577878224,-0.008538555281200602
combined,SIDEWAYS_HIGH,Chronos-2 LoRA,577,0.015544003282754529,0.021078396172723248,0.4852686308492201,-0.046048861706013904,-0.029170671753615138
combined,SIDEWAYS_LOW,Chronos-2 LoRA,1688,0.013073819371343068,0.01770063589149272,0.48578199052132703,-0.008384799534912049,-0.02790946241761634
trend,UP,TimesFM 2.5 LoRA,1482,0.018186924845629525,0.02369971735855467,0.4757085020242915,-0.07473300912364933,-0.07891266651282225
trend,DOWN,TimesFM 2.5 LoRA,2544,0.020805121684884815,0.029843010476444144,0.5180817610062893,-0.13393234912229365,-0.04571522097784438
trend,SIDEWAYS,TimesFM 2.5 LoRA,2265,0.014181788567312349,0.019155705922917855,0.49094922737306845,0.002634212886963128,-0.02198313884346302
volatility,HIGH,TimesFM 2.5 LoRA,2653,0.021834496886396354,0.030799235959744164,0.48548812664907653,-0.1493886311636787,-0.09954033235095931
volatility,LOW,TimesFM 2.5 LoRA,3638,0.014864233934283362,0.01970514514547904,0.5076965365585486,-0.008250574852452858,-0.00931468078038758
combined,UP_HIGH,TimesFM 2.5 LoRA,691,0.019975385516046208,0.02593589506668083,0.4356005788712012,-0.020675641439486282,-0.03388782424661455
combined,UP_LOW,TimesFM 2.5 LoRA,791,0.016624565397768677,0.02155724171636832,0.5107458912768648,-0.13851391286047293,-0.10806425567263475
combined,DOWN_HIGH,TimesFM 2.5 LoRA,1385,0.024974094551434282,0.03575876647573513,0.5046931407942238,-0.1923686591785522,-0.11233787462789359
combined,DOWN_LOW,TimesFM 2.5 LoRA,1159,0.01582321709457332,0.020660262398183762,0.5340811044003452,0.032598603943089846,0.05069929148226364
combined,SIDEWAYS_HIGH,TimesFM 2.5 LoRA,577,0.016524797043821673,0.022060922663106716,0.49913344887348354,-0.016204406367107394,-0.050237539454562545
combined,SIDEWAYS_LOW,TimesFM 2.5 LoRA,1688,0.01338089052765247,0.01805574366177985,0.4881516587677725,0.01780396918867372,-0.01478673873988741
