regime_axis,regime,model,samples,accuracy,macro_f1,balanced_accuracy,short_precision,short_recall,hold_precision,hold_recall,long_precision,long_recall,short_support,hold_support,long_support
combined,SIDEWAYS_LOW,Ridge-Flat,1688,0.6036729857819905,0.2759916487547081,0.338605170248166,0.32432432432432434,0.0345821325648415,0.6135531135531136,0.9747817652764307,0.15384615384615385,0.0064516129032258064,347,1031,310
trend,UP,LSTM Classifier,1482,0.45006747638326583,0.27855027463369114,0.35344615024388987,0.2962962962962963,0.015444015444015444,0.47112462006079026,0.9051094890510949,0.2805755395683453,0.13978494623655913,518,685,279
trend,DOWN,LSTM Classifier,2544,0.4559748427672956,0.34037171484201995,0.3732062860982685,0.2698412698412698,0.07132867132867132,0.48994326972666324,0.8010118043844857,0.38221153846153844,0.24727838258164853,715,1186,643
trend,SIDEWAYS,LSTM Classifier,2265,0.5359823399558499,0.29877587744784734,0.33394773938708683,0.2011173184357542,0.07317073170731707,0.58646998982706,0.8734848484848485,0.20833333333333334,0.05518763796909492,492,1320,453
volatility,HIGH,LSTM Classifier,2653,0.449302676215605,0.33285375324772254,0.38636102886666474,0.3855421686746988,0.03827751196172249,0.47593320235756387,0.8204911092294666,0.35767790262172283,0.300314465408805,836,1181,636
volatility,LOW,LSTM Classifier,3638,0.5082462891698736,0.2843015077192724,0.3289349055955488,0.20192307692307693,0.07086614173228346,0.5507064364207221,0.872636815920398,0.22695035460992907,0.04330175913396482,889,2010,739
combined,UP_HIGH,LSTM Classifier,691,0.41389290882778584,0.2936283706386799,0.37235318829162445,0.7272727272727273,0.02768166089965398,0.4288135593220339,0.8489932885906041,0.2777777777777778,0.2403846153846154,289,298,104
combined,UP_LOW,LSTM Classifier,791,0.48166877370417194,0.26149296196466004,0.34277347114556417,0.0,0.0,0.5055096418732782,0.9483204134366925,0.2857142857142857,0.08,229,387,175
combined,DOWN_HIGH,LSTM Classifier,1385,0.4548736462093863,0.35869902642016943,0.40322766646801994,0.3888888888888889,0.05223880597014925,0.4796663190823775,0.7744107744107744,0.40053763440860213,0.38303341902313626,402,594,389
combined,DOWN_LOW,LSTM Classifier,1159,0.457290767903365,0.27481744486649967,0.3209731422700908,0.2222222222222222,0.09584664536741214,0.5,0.8277027027027027,0.22727272727272727,0.03937007874015748,313,592,254
combined,SIDEWAYS_HIGH,LSTM Classifier,577,0.4783362218370884,0.28491438842254363,0.34179464094748674,0.16666666666666666,0.020689655172413793,0.5256673511293635,0.8858131487889274,0.2361111111111111,0.11888111888111888,145,289,143
combined,SIDEWAYS_LOW,LSTM Classifier,1688,0.5556872037914692,0.2964516777097536,0.33031213804311993,0.20496894409937888,0.09510086455331412,0.6064908722109533,0.8700290979631425,0.16666666666666666,0.025806451612903226,347,1031,310
trend,UP,TimesNet Classifier,1482,0.41295546558704455,0.3469717969373036,0.36433522223491616,0.3188976377952756,0.15637065637065636,0.4739583333333333,0.6642335766423357,0.2835820895522388,0.2724014336917563,518,685,279
trend,DOWN,TimesNet Classifier,2544,0.40723270440251574,0.36428343797857005,0.3676260805206855,0.25846702317290554,0.20279720279720279,0.5040650406504065,0.5750421585160203,0.33174603174603173,0.3250388802488336,715,1186,643
trend,SIDEWAYS,TimesNet Classifier,2265,0.47152317880794703,0.3671035698371237,0.36687587390624055,0.23869801084990958,0.2682926829268293,0.6031183557760453,0.6446969696969697,0.2823920265780731,0.18763796909492272,492,1320,453
volatility,HIGH,TimesNet Classifier,2653,0.38635506973237843,0.35394091475719885,0.3686103700766094,0.2968421052631579,0.1686602870813397,0.4766997708174179,0.5283657917019475,0.2991944764096663,0.4088050314465409,836,1181,636
volatility,LOW,TimesNet Classifier,3638,0.46481583287520617,0.35528118831013805,0.35718375012870324,0.24300111982082867,0.2440944881889764,0.5648033126293995,0.6786069651741293,0.3333333333333333,0.14884979702300405,889,2010,739
combined,UP_HIGH,TimesNet Classifier,691,0.39363241678726485,0.3369310156756206,0.4011380099429611,0.48148148148148145,0.08996539792387544,0.42735042735042733,0.6711409395973155,0.27218934911242604,0.4423076923076923,289,298,104
combined,UP_LOW,TimesNet Classifier,791,0.42983565107458915,0.3518643789190113,0.35683932419994163,0.275,0.24017467248908297,0.5182926829268293,0.6589147286821705,0.30303030303030304,0.17142857142857143,229,387,175
combined,DOWN_HIGH,TimesNet Classifier,1385,0.36823104693140796,0.35175260695310895,0.3575045625653767,0.25149700598802394,0.208955223880597,0.48785046728971965,0.4393939393939394,0.31976744186046513,0.4241645244215938,402,594,389
combined,DOWN_LOW,TimesNet Classifier,1159,0.453839516824849,0.3540731604253035,0.3597550580063598,0.2687224669603524,0.19488817891373802,0.5146699266503667,0.7111486486486487,0.38596491228070173,0.1732283464566929,313,592,254
combined,SIDEWAYS_HIGH,TimesNet Classifier,577,0.42114384748700173,0.37161157619221896,0.3734880956453561,0.3563218390804598,0.21379310344827587,0.5326797385620915,0.5640138408304498,0.266304347826087,0.34265734265734266,145,289,143
combined,SIDEWAYS_LOW,TimesNet Classifier,1688,0.4887440758293839,0.35375850271935866,0.35816953424954967,0.2167381974248927,0.2910662824207493,0.6226244343891403,0.6673132880698351,0.3076923076923077,0.11612903225806452,347,1031,310
trend,UP,Chronos-2 LoRA,1482,0.4676113360323887,0.24401146831641674,0.34177587389266223,0.5576923076923077,0.055984555984555984,0.4669479606188467,0.9693430656934306,0.0,0.0,518,685,279
trend,DOWN,Chronos-2 LoRA,2544,0.45754716981132076,0.2443655840609662,0.33575163018827964,0.2,0.011188811188811189,0.4785380365490863,0.9494097807757167,0.1986754966887417,0.04665629860031104,715,1186,643
trend,SIDEWAYS,Chronos-2 LoRA,2265,0.5796909492273731,0.24897707604742522,0.3329572579289911,0.2,0.0020325203252032522,0.5827402135231317,0.9924242424242424,0.16666666666666666,0.004415011037527594,492,1320,453
volatility,HIGH,Chronos-2 LoRA,2653,0.4425179042593291,0.24681450306406308,0.3399221299482553,0.4444444444444444,0.03827751196172249,0.45758564437194127,0.9500423370025403,0.15503875968992248,0.031446540880503145,836,1181,636
volatility,LOW,Chronos-2 LoRA,3638,0.548653106102254,0.25089749292243074,0.3356889726735807,0.24,0.006749156355455568,0.5539064687762532,0.9840796019900497,0.2857142857142857,0.016238159675236806,889,2010,739
combined,UP_HIGH,Chronos-2 LoRA,691,0.44138929088277856,0.24604346999775392,0.3419644999729066,0.6052631578947368,0.07958477508650519,0.43653250773993807,0.9463087248322147,0.0,0.0,289,298,104
combined,UP_LOW,Chronos-2 LoRA,791,0.49051833122629585,0.23543482337788255,0.33776032557387287,0.42857142857142855,0.026200873362445413,0.49226804123711343,0.9870801033591732,0.0,0.0,229,387,175
combined,DOWN_HIGH,Chronos-2 LoRA,1385,0.4202166064981949,0.2404726718008012,0.33465810397348084,0.26666666666666666,0.01990049751243781,0.448582995951417,0.9326599326599326,0.16666666666666666,0.05141388174807198,402,594,389
combined,DOWN_LOW,Chronos-2 LoRA,1159,0.5021570319240725,0.24639376218323586,0.33519543165212456,0.0,0.0,0.5116279069767442,0.9662162162162162,0.3225806451612903,0.03937007874015748,313,592,254
combined,SIDEWAYS_HIGH,Chronos-2 LoRA,577,0.49740034662045063,0.2261796992872379,0.3321719762955892,0.25,0.006896551724137931,0.500875656742557,0.9896193771626297,0.0,0.0,145,289,143
combined,SIDEWAYS_LOW,Chronos-2 LoRA,1688,0.6078199052132701,0.2562592319054653,0.3332206960566524,0.0,0.0,0.6106141920095408,0.9932104752667313,0.2,0.0064516129032258064,347,1031,310
trend,UP,TimesFM 2.5 LoRA,1482,0.4574898785425101,0.25566617042127043,0.34140527893765477,0.5588235294117647,0.03667953667953668,0.47573529411764703,0.9445255474452555,0.13636363636363635,0.043010752688172046,518,685,279
trend,DOWN,TimesFM 2.5 LoRA,2544,0.4528301886792453,0.299209681857639,0.34939269894042924,0.2591093117408907,0.08951048951048951,0.4858490566037736,0.8684654300168634,0.327683615819209,0.09020217729393468,715,1186,643
trend,SIDEWAYS,TimesFM 2.5 LoRA,2265,0.5660044150110375,0.28066492736235493,0.3382700368243899,0.27586206896551724,0.032520325203252036,0.5832944470368642,0.946969696969697,0.25,0.03532008830022075,492,1320,453
volatility,HIGH,TimesFM 2.5 LoRA,2653,0.4263098379193366,0.2873431212969296,0.34203826449995733,0.25925925925925924,0.07535885167464115,0.46076181734740707,0.8501270110076207,0.27705627705627706,0.10062893081761007,836,1181,636
volatility,LOW,TimesFM 2.5 LoRA,3638,0.5445299615173173,0.276945220494067,0.3423271051492607,0.375,0.04049493813273341,0.5583623693379791,0.9567164179104478,0.22448979591836735,0.029769959404600813,889,2010,739
combined,UP_HIGH,TimesFM 2.5 LoRA,691,0.4196816208393632,0.2724525958179562,0.3499111874091554,0.56,0.04844290657439446,0.4451939291736931,0.8859060402684564,0.1643835616438356,0.11538461538461539,289,298,104
combined,UP_LOW,TimesFM 2.5 LoRA,791,0.49051833122629585,0.2352649898781003,0.33716604794090327,0.5555555555555556,0.021834061135371178,0.49934810951760106,0.9896640826873385,0.0,0.0,229,387,175
combined,DOWN_HIGH,TimesFM 2.5 LoRA,1385,0.41732851985559566,0.3003991708326073,0.34832792922166106,0.22580645161290322,0.1044776119402985,0.45732838589981445,0.82996632996633,0.35537190082644626,0.11053984575835475,402,594,389
